player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
318788,Haris Sohail,2013-2023,left-hand bat,middle-order batter,Pakistan,45,44.0,1749.0,85.48,44.84,5.0,2.0,14.0,138.0,28.0,10,58.82325352977287,174.9,39.75,168.0,9.605488850771868,552.0,31.56089193825043
681305,Hasan Ali,2016-2022,right-hand bat,bowler,Pakistan,60,35.0,363.0,121.4,15.12,11.0,0.0,2.0,24.0,24.0,6,26.890829182537356,60.5,10.371428571428572,144.0,39.66942148760331,96.0,26.446280991735538
568276,Imam-ul-Haq,2017-2023,left-hand bat,top-order batter,Pakistan,56,56.0,2545.0,82.68,50.9,6.0,9.0,14.0,201.0,24.0,6,63.00961221739782,424.1666666666667,45.44642857142857,144.0,5.658153241650295,804.0,31.591355599214143
348148,Mohammad Nawaz (3),2016-2023,left-hand bat,allrounder,Pakistan,25,20.0,264.0,86.55,16.5,4.0,0.0,1.0,16.0,7.0,7,27.716157205240176,37.714285714285715,13.2,42.0,15.909090909090908,64.0,24.242424242424242
323389,Mohammad Rizwan,2015-2023,right-hand bat,wicketkeeper batter,Pakistan,52,47.0,1247.0,86.35,32.81,9.0,2.0,8.0,99.0,10.0,8,47.551921785834175,155.875,26.53191489361702,60.0,4.811547714514836,396.0,31.756214915797916
26421,R Ashwin,2010-2022,right-hand bat,bowling allrounder,India,113,63.0,707.0,86.96,16.44,20.0,0.0,1.0,60.0,7.0,12,27.65227079303675,58.916666666666664,11.222222222222221,42.0,5.9405940594059405,240.0,33.946251768033946
625383,JJ Bumrah,2016-2022,right-hand bat,bowler,India,72,20.0,47.0,50.53,6.71,13.0,0.0,0.0,5.0,1.0,6,11.846830887491265,7.833333333333333,2.35,6.0,12.76595744680851,20.0,42.5531914893617
28235,S Dhawan,2010-2022,left-hand bat,opening batter,India,167,164.0,6793.0,91.35,44.11,10.0,17.0,39.0,842.0,79.0,12,59.492817067769074,566.0833333333334,41.420731707317074,474.0,6.977771235094951,3368.0,49.580450463712644
642519,SS Iyer,2017-2023,right-hand bat,top-order batter,India,42,38.0,1631.0,96.5,46.6,3.0,2.0,14.0,162.0,32.0,6,62.849755415793155,271.8333333333333,42.921052631578945,192.0,11.771919068056407,648.0,39.73022685469038
234675,RA Jadeja,2009-2022,left-hand bat,allrounder,India,171,115.0,2447.0,86.52,32.62,40.0,0.0,13.0,179.0,50.0,13,47.37757931844888,188.23076923076923,21.278260869565216,300.0,12.259910093992644,716.0,29.260318757662446
30045,KD Karthik,2004-2019,right-hand bat,wicketkeeper batter,India,94,79.0,1752.0,73.24,30.2,21.0,0.0,9.0,176.0,15.0,15,42.76581593194122,116.8,22.17721518987342,90.0,5.136986301369863,704.0,40.182648401826484
253802,V Kohli,2008-2023,right-hand bat,top-order batter,India,271,262.0,12809.0,93.77,57.69,40.0,46.0,64.0,1204.0,137.0,15,71.43260662881289,853.9333333333333,48.88931297709924,822.0,6.417362791787025,4816.0,37.59856351003201
559235,Kuldeep Yadav,2017-2023,left-hand bat,bowler,India,78,28.0,146.0,66.06,12.16,16.0,0.0,0.0,12.0,0.0,6,20.539238046535413,24.333333333333332,5.214285714285714,0.0,0.0,48.0,32.87671232876712
